ma,cons_bars,cons_range,drop_thresh,take_profit,stop_loss,trades,win_rate,total_profit,avg_profit,max_dd,profit_factor,sl_rate
100,3,5.0,5.0,7.0,3.0,80,40.0,80.00000000000009,1.000000000000001,18.000000000000014,1.5555555555555556,60.0
100,7,7.0,5.0,7.0,3.0,70,41.42857142857143,80.00000000000009,1.1428571428571441,18.000000000000014,1.6504065040650406,58.57142857142858
25,3,7.0,5.0,7.0,3.0,210,33.80952380952381,80.00000000000004,0.38095238095238115,51.000000000000036,1.1918465227817745,66.19047619047619
50,3,7.0,10.0,15.0,7.0,20,50.0,79.99999999999987,3.999999999999994,14.000000000000014,2.14285714285714,50.0
25,5,5.0,5.0,7.0,5.0,133,46.616541353383454,79.0000000000002,0.5939849624060165,71.00000000000004,1.222535211267606,53.383458646616546
25,5,7.0,5.0,15.0,3.0,152,19.736842105263158,78.64643777365936,0.5174107748267063,66.00000000000037,1.2148809775236593,80.26315789473685
25,7,5.0,5.0,10.0,3.0,116,28.448275862068968,78.59961014066083,0.6775828460401796,53.00000000000004,1.315661084902252,71.55172413793103
100,3,7.0,5.0,7.0,5.0,78,50.0,78.00000000000011,1.0000000000000016,23.000000000000014,1.4000000000000001,50.0
25,7,5.0,7.0,10.0,7.0,40,52.5,77.0000000000001,1.9250000000000025,43.99999999999999,1.5789473684210529,47.5
100,7,7.0,5.0,10.0,7.0,57,49.122807017543856,77.00000000000006,1.3508771929824572,28.00000000000003,1.3793103448275863,50.877192982456144
25,3,7.0,10.0,7.0,7.0,43,62.7906976744186,77.00000000000001,1.790697674418605,21.000000000000014,1.6874999999999996,37.2093023255814
25,7,7.0,5.0,7.0,7.0,125,54.400000000000006,77.0,0.616,70.00000000000007,1.1929824561403506,45.6
25,5,5.0,5.0,7.0,3.0,158,34.810126582278485,76.00000000000013,0.4810126582278489,52.99999999999999,1.2459546925566347,65.18987341772153
25,3,7.0,7.0,7.0,3.0,118,36.440677966101696,76.00000000000001,0.6440677966101697,46.00000000000008,1.3377777777777775,63.559322033898304
50,3,5.0,10.0,10.0,7.0,16,68.75,75.00000000000009,4.687500000000005,14.000000000000007,3.1428571428571437,31.25
25,3,5.0,7.0,10.0,5.0,87,39.08045977011494,75.00000000000006,0.862068965517242,65.00000000000004,1.2830188679245282,60.91954022988506
25,7,7.0,7.0,10.0,7.0,67,47.76119402985074,75.00000000000001,1.119402985074627,53.00000000000006,1.3061224489795915,52.23880597014925
25,5,7.0,5.0,15.0,7.0,92,35.869565217391305,74.93808788392207,0.814544433520892,85.0000000000002,1.1814481546826199,64.13043478260869
25,3,5.0,5.0,15.0,5.0,116,28.448275862068968,74.64643777365937,0.6435037739108567,105.00000000000024,1.1798709343943599,71.55172413793103
50,7,7.0,5.0,15.0,5.0,84,29.761904761904763,73.64571920196164,0.8767347524043052,85.00000000000017,1.2496465057693613,70.23809523809523
100,5,7.0,5.0,10.0,7.0,65,47.69230769230769,72.00000000000009,1.107692307692309,42.000000000000036,1.3025210084033616,52.307692307692314
100,7,5.0,5.0,7.0,5.0,41,56.09756097560976,71.00000000000003,1.7317073170731714,15.000000000000014,1.7888888888888885,43.90243902439025
25,3,5.0,5.0,7.0,3.0,190,33.68421052631579,70.0000000000001,0.3684210526315795,52.00000000000001,1.1851851851851851,66.3157894736842
25,5,5.0,7.0,10.0,7.0,58,48.275862068965516,70.00000000000007,1.2068965517241392,82.00000000000003,1.3333333333333333,51.724137931034484
50,7,5.0,5.0,10.0,3.0,72,30.555555555555557,70.00000000000003,0.9722222222222227,31.00000000000002,1.4666666666666663,69.44444444444444
100,5,5.0,5.0,10.0,5.0,52,42.30769230769231,70.00000000000003,1.3461538461538467,25.00000000000003,1.4666666666666663,57.692307692307686
