ma,cons_bars,cons_range,drop_thresh,take_profit,stop_loss,trades,win_rate,total_profit,avg_profit,max_dd,profit_factor,sl_rate
25,7,5.0,3.0,10.0,3.0,305,25.901639344262296,114.62184784460739,0.3758093371954341,105.00000000000001,1.1697150662614784,73.77049180327869
100,3,2.0,3.0,7.0,2.0,123,32.52032520325203,114.00000000000003,0.9268292682926832,35.000000000000014,1.6867469879518064,67.47967479674797
50,7,5.0,3.0,5.0,2.0,308,33.76623376623377,113.62184784460729,0.3689021033915821,52.000000000000114,1.2795963494640823,65.9090909090909
100,7,5.0,3.0,10.0,2.0,160,22.5,112.00000000000004,0.7000000000000003,44.000000000000064,1.4516129032258063,77.5
100,5,3.0,3.0,7.0,5.0,112,50.0,112.00000000000001,1.0000000000000002,41.00000000000007,1.4,50.0
50,5,2.0,3.0,7.0,3.0,127,38.582677165354326,111.62184784460736,0.8789121877528139,36.00000000000002,1.4824217273964677,60.629921259842526
25,5,5.0,3.0,10.0,2.0,395,18.9873417721519,111.6218478446073,0.2825869565686261,90.00000000000013,1.1748522368250416,80.75949367088607
50,3,3.0,3.0,5.0,2.0,295,33.89830508474576,111.62184784460729,0.3783791452359569,55.000000000000114,1.287405064433044,65.76271186440678
50,5,5.0,3.0,5.0,2.0,323,33.43653250773993,111.62184784460726,0.34557847629909366,47.000000000000114,1.260568489039368,66.25386996904025
50,3,3.0,3.0,5.0,3.0,265,42.64150943396226,111.62184784460723,0.42121452016832917,47.00000000000013,1.246200323756116,56.9811320754717
25,7,3.0,3.0,7.0,5.0,204,46.07843137254902,110.45702412441322,0.5414560006098688,115.00000000000006,1.2017321543533257,53.431372549019606
100,5,3.0,3.0,10.0,2.0,131,23.66412213740458,110.00000000000007,0.8396946564885501,38.00000000000006,1.5499999999999998,76.33587786259542
25,7,2.0,3.0,10.0,5.0,99,40.4040404040404,109.62184784460732,1.107291392369771,60.00000000000007,1.377514103698629,58.58585858585859
25,7,2.0,3.0,10.0,2.0,133,23.308270676691727,107.62184784460733,0.8091868258993032,48.00000000000007,1.53178590029803,75.93984962406014
25,3,3.0,3.0,10.0,2.0,367,19.07356948228883,107.6218478446073,0.29324754181091905,98.00000000000016,1.1816776115949255,80.65395095367847
25,3,3.0,3.0,5.0,5.0,291,53.608247422680414,107.45702412441308,0.36926812413887655,70.00000000000017,1.1597771859627473,46.04810996563574
100,7,5.0,3.0,7.0,3.0,151,37.086092715231786,107.00000000000009,0.7086092715231793,41.00000000000007,1.3754385964912281,62.913907284768214
100,5,5.0,3.0,5.0,3.0,167,45.50898203592814,107.00000000000003,0.6407185628742517,19.00000000000003,1.3919413919413917,54.49101796407185
50,5,3.0,3.0,7.0,2.0,240,27.083333333333332,106.62184784460733,0.44425769935253057,59.00000000000009,1.3060520505805109,72.5
25,7,3.0,3.0,10.0,3.0,234,26.495726495726498,106.62184784460729,0.45564892241285165,98.00000000000009,1.2076867653930357,73.07692307692307
50,5,5.0,3.0,7.0,2.0,294,26.190476190476193,106.62184784460727,0.36265934641022884,64.00000000000014,1.246593976391037,73.46938775510205
50,3,5.0,3.0,5.0,2.0,343,32.94460641399417,106.62184784460726,0.3108508683516247,50.000000000000114,1.2326067404025438,66.76384839650146
100,7,3.0,3.0,10.0,2.0,109,24.770642201834864,106.00000000000004,0.9724770642201839,42.00000000000003,1.6463414634146338,75.22935779816514
25,5,3.0,3.0,10.0,3.0,269,26.022304832713754,105.62184784460736,0.392646274515269,97.0000000000001,1.1777014304136026,73.60594795539033
50,5,3.0,3.0,5.0,2.0,256,34.375,105.62184784460736,0.4125853431429975,48.00000000000009,1.3158754457005386,65.234375
25,3,5.0,3.0,10.0,2.0,422,18.72037914691943,105.62184784460732,0.25028873896826376,84.00000000000009,1.1543325828154505,81.04265402843602
100,7,5.0,3.0,10.0,5.0,114,39.473684210526315,105.00000000000003,0.9210526315789476,60.000000000000114,1.3043478260869563,60.526315789473685
100,7,5.0,3.0,5.0,5.0,137,57.66423357664233,104.9999999999999,0.7664233576642329,30.0000000000001,1.3620689655172407,42.33576642335766
50,5,3.0,3.0,5.0,5.0,198,55.05050505050505,104.62184784460726,0.5283931709323599,60.00000000000013,1.237572748176867,44.44444444444444
100,3,3.0,3.0,5.0,3.0,152,46.05263157894737,104.0,0.6842105263157895,22.000000000000057,1.422764227642276,53.94736842105263
50,5,2.0,3.0,10.0,3.0,118,29.66101694915254,103.62184784460734,0.8781512529204012,27.00000000000002,1.4205805057716812,69.49152542372882
50,7,3.0,3.0,10.0,2.0,183,21.311475409836063,103.62184784460733,0.5662396057082367,62.000000000000014,1.3618357303610946,78.14207650273224
50,7,5.0,3.0,5.0,3.0,273,42.124542124542124,103.62184784460732,0.37956720822200485,53.00000000000002,1.2198274302081944,57.509157509157504
25,7,5.0,3.0,5.0,2.0,450,31.77777777777778,102.62184784460719,0.22804855076579375,57.000000000000085,1.1675792114454249,68.0
25,5,3.0,3.0,10.0,5.0,193,36.787564766839374,102.45702412441322,0.530865409971053,125.00000000000013,1.1686416075780528,62.69430051813472
25,3,2.0,3.0,10.0,5.0,178,37.07865168539326,102.45702412441321,0.5756012591259169,135.00000000000014,1.183765249599837,62.35955056179775
100,3,3.0,3.0,7.0,2.0,157,29.29936305732484,100.00000000000009,0.6369426751592362,36.000000000000085,1.4504504504504505,70.70063694267516
100,3,3.0,3.0,10.0,5.0,112,39.285714285714285,100.00000000000007,0.8928571428571435,65.00000000000007,1.2941176470588234,60.71428571428571
100,5,2.0,3.0,7.0,3.0,90,41.11111111111111,100.00000000000001,1.1111111111111112,27.000000000000036,1.6289308176100623,58.88888888888889
100,5,5.0,3.0,5.0,2.0,188,36.17021276595745,100.00000000000001,0.5319148936170214,31.000000000000057,1.4166666666666663,63.829787234042556
50,3,3.0,3.0,7.0,5.0,197,45.68527918781726,99.62184784460742,0.5056946591096824,114.00000000000001,1.1878317337163233,53.80710659898477
50,7,5.0,3.0,7.0,5.0,197,45.68527918781726,99.6218478446074,0.5056946591096823,114.00000000000001,1.1878317337163231,53.80710659898477
50,5,3.0,3.0,10.0,5.0,155,37.41935483870968,99.62184784460736,0.6427215989974668,120.00000000000001,1.2073821371717623,61.935483870967744
50,3,2.0,3.0,10.0,2.0,197,20.812182741116754,99.62184784460734,0.5056946591096819,52.000000000000014,1.320969266531141,78.68020304568529
50,3,5.0,3.0,5.0,5.0,241,53.941908713692946,99.62184784460717,0.41336866325563143,50.000000000000085,1.1810061817578834,45.643153526970956
100,3,5.0,3.0,7.0,2.0,189,28.04232804232804,99.00000000000006,0.5238095238095241,38.000000000000085,1.363970588235294,71.95767195767195
50,3,5.0,3.0,5.0,3.0,304,41.44736842105263,98.62184784460725,0.32441397317305015,51.00000000000005,1.1855963543938985,58.223684210526315
100,5,5.0,3.0,7.0,2.0,176,28.40909090909091,98.00000000000009,0.5568181818181823,38.00000000000007,1.3888888888888888,71.5909090909091
100,3,3.0,3.0,5.0,2.0,168,36.904761904761905,98.00000000000003,0.5833333333333335,36.00000000000005,1.462264150943396,63.095238095238095
100,3,2.0,3.0,5.0,3.0,122,47.540983606557376,97.99999999999994,0.8032786885245897,21.00000000000003,1.510416666666666,52.459016393442624
50,3,2.0,3.0,7.0,2.0,204,27.450980392156865,97.62184784460739,0.4785384698265068,40.000000000000114,1.3316205605947138,72.05882352941177
50,3,2.0,3.0,5.0,3.0,198,43.43434343434344,96.62184784460734,0.48798913052831994,43.00000000000003,1.2898265744768131,56.060606060606055
50,7,3.0,3.0,5.0,3.0,182,43.956043956043956,96.62184784460734,0.5308892738714689,45.000000000000036,1.3184865065534341,55.494505494505496
25,5,3.0,3.0,5.0,2.0,390,32.05128205128205,96.62184784460727,0.24774832780668532,74.00000000000014,1.182864956566545,67.6923076923077
50,5,5.0,3.0,5.0,3.0,286,41.60839160839161,96.62184784460726,0.3378386288272981,48.00000000000005,1.1938725592739883,58.04195804195804
100,7,5.0,3.0,5.0,3.0,160,45.0,96.0,0.6,21.00000000000003,1.3636363636363633,55.00000000000001
100,5,3.0,3.0,10.0,3.0,120,29.166666666666668,95.00000000000006,0.7916666666666672,61.00000000000006,1.3725490196078431,70.83333333333334
100,5,3.0,3.0,10.0,5.0,101,39.603960396039604,95.00000000000004,0.940594059405941,65.0000000000001,1.3114754098360653,60.396039603960396
100,5,2.0,3.0,10.0,5.0,77,41.55844155844156,95.00000000000003,1.233766233766234,60.00000000000005,1.422222222222222,58.44155844155844
50,7,5.0,3.0,5.0,5.0,222,54.054054054054056,94.62184784460723,0.4262245398405731,70.00000000000016,1.1872297950377422,45.4954954954955
100,5,3.0,3.0,7.0,3.0,129,37.2093023255814,93.00000000000004,0.7209302325581398,35.00000000000004,1.3827160493827158,62.7906976744186
100,3,5.0,3.0,3.0,5.0,175,69.14285714285714,92.99999999999999,0.5314285714285714,23.000000000000036,1.344444444444444,30.857142857142854
50,7,3.0,3.0,7.0,5.0,148,46.62162162162162,92.62184784460734,0.6258232962473469,52.00000000000003,1.2372618634859938,52.702702702702695
25,5,2.0,3.0,7.0,5.0,162,46.2962962962963,92.47235732713176,0.5708170205378503,103.00000000000006,1.213795254230886,53.086419753086425
25,5,2.0,3.0,5.0,2.0,235,34.04255319148936,91.62184784460737,0.38988020359407394,66.00000000000011,1.2971087517199946,65.53191489361701
25,3,2.0,3.0,5.0,2.0,333,32.432432432432435,91.62184784460736,0.2751406842180401,71.00000000000011,1.2043405714666806,67.26726726726727
100,5,3.0,3.0,7.0,2.0,139,29.496402877697843,91.00000000000003,0.654676258992806,32.000000000000036,1.464285714285714,70.50359712230215
100,7,3.0,3.0,7.0,5.0,97,49.48453608247423,91.00000000000001,0.9381443298969073,53.00000000000007,1.3714285714285712,50.51546391752577
25,3,3.0,3.0,5.0,2.0,442,31.447963800904976,90.6218478446072,0.20502680507829685,73.00000000000017,1.149942296096281,68.32579185520362
100,7,3.0,3.0,10.0,3.0,100,30.0,90.00000000000006,0.9000000000000006,53.00000000000006,1.4285714285714286,70.0
100,3,2.0,3.0,5.0,5.0,112,58.03571428571429,90.0,0.8035714285714286,35.000000000000085,1.382978723404255,41.964285714285715
100,5,3.0,3.0,5.0,5.0,120,57.49999999999999,89.99999999999991,0.7499999999999993,30.000000000000064,1.3529411764705876,42.5
25,3,5.0,3.0,10.0,5.0,244,35.65573770491803,89.62184784460739,0.36730265510085,120.00000000000011,1.1148441272953031,63.934426229508205
50,3,3.0,3.0,10.0,5.0,175,36.57142857142857,89.62184784460737,0.5121248448263278,150.00000000000003,1.1628368558846858,62.857142857142854
50,5,5.0,3.0,7.0,5.0,204,45.09803921568628,88.6218478446074,0.43442082276768335,105.0,1.1595702810790645,54.41176470588235
100,3,5.0,5.0,10.0,3.0,66,33.33333333333333,88.00000000000006,1.3333333333333341,27.00000000000002,1.6666666666666663,66.66666666666666
25,5,3.0,3.0,5.0,3.0,337,40.652818991097924,87.6218478446073,0.2600054832184193,79.00000000000007,1.14667735592348,59.05044510385756
100,7,5.0,3.0,7.0,2.0,168,27.976190476190478,87.00000000000004,0.5178571428571431,40.000000000000064,1.3595041322314048,72.02380952380952
