ma,cons_bars,cons_range,drop_thresh,tp,sl,trades,win_rate,total_profit,avg_profit,max_dd,profit_factor
24,24,3.0,2.0,3.0,1.5,560,33.57142857142857,6.000000000000002,0.010714285714285718,72.00000000000009,1.010752688172043
100,12,1.0,1.5,2.0,2.0,77,51.94805194805194,5.999999999999993,0.07792207792207782,10.000000000000053,1.081081081081081
24,12,1.0,1.5,3.0,1.5,302,33.77483443708609,5.99999999999994,0.019867549668873972,34.50000000000007,1.0199999999999998
24,12,3.0,3.0,2.0,2.0,209,50.717703349282296,5.999999999999927,0.028708133971291516,26.00000000000003,1.0291262135922326
24,6,1.0,3.0,2.0,1.5,36,47.22222222222222,5.499999999999957,0.1527777777777766,7.500000000000015,1.1929824561403493
24,12,2.0,3.0,3.0,1.0,55,27.27272727272727,5.00000000000005,0.09090909090909181,10.000000000000004,1.1250000000000013
24,6,1.0,2.0,5.0,1.5,326,23.31288343558282,5.000000000000034,0.01533742331288354,52.50000000000004,1.0133333333333334
48,6,1.0,2.0,3.0,1.0,147,25.850340136054424,5.000000000000026,0.03401360544217705,27.000000000000036,1.0458715596330277
48,6,1.0,3.0,3.0,2.0,10,50.0,5.000000000000005,0.5000000000000006,8.000000000000009,1.4999999999999998
48,12,3.0,3.0,5.0,2.0,78,29.48717948717949,5.000000000000004,0.06410256410256417,48.00000000000003,1.0454545454545454
48,6,2.0,1.5,3.0,2.0,870,40.11494252873563,4.999999999999976,0.005747126436781581,117.00000000000011,1.0047984644913628
48,6,3.0,3.0,3.0,1.5,144,34.02777777777778,4.500000000000143,0.03125000000000099,28.499999999999954,1.031578947368422
24,12,1.0,1.5,3.0,2.0,293,40.27303754266212,4.000000000000083,0.013651877133106083,47.000000000000036,1.0114285714285718
24,12,3.0,1.5,5.0,2.0,1181,28.619813717188826,4.000000000000038,0.0033869602032176446,242.00000000000026,1.0023724792408066
100,12,2.0,3.0,5.0,1.0,14,21.428571428571427,4.000000000000013,0.28571428571428664,7.999999999999998,1.3636363636363644
48,12,3.0,3.0,5.0,1.0,80,17.5,4.000000000000004,0.05000000000000006,31.000000000000046,1.0606060606060606
24,6,1.0,3.0,2.0,2.0,36,52.77777777777778,3.999999999999971,0.11111111111111031,12.000000000000016,1.1176470588235283
24,6,3.0,1.5,5.0,2.0,1237,28.617623282134197,3.999999999999961,0.003233629749393663,238.00000000000017,1.0022650056625142
48,12,3.0,3.0,2.0,2.0,80,51.24999999999999,3.999999999999917,0.04999999999999896,24.00000000000008,1.0512820512820502
100,6,3.0,2.0,2.0,2.0,416,50.24038461538461,3.9999999999998517,0.009615384615384259,44.00000000000019,1.0096618357487919
48,24,3.0,1.5,2.0,1.5,910,42.967032967032964,3.499999999999868,0.003846153846153701,93.00000000000007,1.0044958253050738
48,12,2.0,1.5,3.0,1.0,849,25.08833922261484,3.000000000000147,0.0035335689045938126,85.99999999999991,1.0047169811320757
48,24,3.0,2.0,3.0,1.0,385,25.19480519480519,3.0000000000000853,0.007792207792208013,60.99999999999997,1.010416666666667
100,12,2.0,2.0,2.0,1.0,201,33.83084577114428,3.000000000000039,0.014925373134328552,22.999999999999904,1.0225563909774438
24,6,1.0,3.0,3.0,2.0,36,41.66666666666667,2.999999999999994,0.08333333333333316,14.000000000000016,1.0714285714285712
100,6,1.0,2.0,2.0,1.0,123,34.146341463414636,2.999999999999992,0.02439024390243896,17.999999999999975,1.0370370370370368
24,6,1.0,3.0,2.0,1.0,36,36.11111111111111,2.9999999999999902,0.08333333333333307,5.000000000000014,1.1304347826086951
100,6,2.0,3.0,3.0,2.0,66,40.909090909090914,2.9999999999999734,0.04545454545454505,16.000000000000064,1.038461538461538
100,12,1.0,1.5,2.0,1.0,79,34.177215189873415,2.000000000000059,0.02531645569620328,14.000000000000002,1.0384615384615397
24,12,3.0,3.0,5.0,1.0,208,16.826923076923077,2.0000000000000564,0.009615384615384887,53.000000000000014,1.0115606936416188
48,6,3.0,2.0,3.0,2.0,554,40.07220216606498,2.000000000000025,0.0036101083032491423,60.00000000000009,1.0030120481927713
24,12,2.0,3.0,5.0,1.5,55,23.636363636363637,2.000000000000022,0.036363636363636764,23.0,1.031746031746032
100,12,2.0,3.0,3.0,1.0,14,28.57142857142857,2.0000000000000107,0.14285714285714363,4.999999999999992,1.2000000000000008
